connectionPointId;uic;stopPlaceId
1076_7.0_E__1;7602351;NSR:StopPlace:548
1076_7.0_E__2;7601512;NSR:StopPlace:132
1076_7.0_E__3;7602324;NSR:StopPlace:222
1076_7.0_E__4;7600616;NSR:StopPlace:336
1076_7.0_E__5;7601385;NSR:StopPlace:176
1076_7.0_E__6;7602315;NSR:StopPlace:324
1076_7.0_E__7;7601126;NSR:StopPlace:659
1076_7.0_E__8;7600516;NSR:StopPlace:203
1076_7.0_E__9;7601406;NSR:StopPlace:303
1076_7.0_E__10;7601514;NSR:StopPlace:108
1076_7.0_E__11;7600734;NSR:StopPlace:17
1076_7.0_E__12;7601103;NSR:StopPlace:641
1076_7.0_E__13;7600207;NSR:StopPlace:451
1076_7.0_E__14;7600533;NSR:StopPlace:412
1076_7.0_E__15;7600711;NSR:StopPlace:219
1076_7.0_E__16;7601421;NSR:StopPlace:11
1076_7.0_E__17;7602320;NSR:StopPlace:358
1076_7.0_E__18;7601405;NSR:StopPlace:706
1076_7.0_E__19;7600501;NSR:StopPlace:279
1076_7.0_E__20;7602321;NSR:StopPlace:99
1076_7.0_E__21;7602204;NSR:StopPlace:199
1076_7.0_E__22;7601376;NSR:StopPlace:161
1076_7.0_E__23;7600511;NSR:StopPlace:384
1076_7.0_E__24;7601505;NSR:StopPlace:259
1076_7.0_E__25;7601413;NSR:StopPlace:418
1076_7.0_E__26;7601122;NSR:StopPlace:210
1076_7.0_E__27;7601408;NSR:StopPlace:610
1076_7.0_E__28;7600504;NSR:StopPlace:572
1076_7.0_E__29;7600747;NSR:StopPlace:645
1076_7.0_E__30;7600920;NSR:StopPlace:580
1076_7.0_E__31;7600510;NSR:StopPlace:547
1076_7.0_E__32;7600614;NSR:StopPlace:494
1076_7.0_E__33;7600303;NSR:StopPlace:186
1076_7.0_E__34;7601299;NSR:StopPlace:456
1076_7.0_E__35;7600622;NSR:StopPlace:15
1076_7.0_E__36;7602234;NSR:StopPlace:596
1076_7.0_E__37;7601214;NSR:StopPlace:180
1076_7.0_E__38;7601402;NSR:StopPlace:152
1076_7.0_E__39;7600503;NSR:StopPlace:287
1076_7.0_E__40;7601110;NSR:StopPlace:602
1076_7.0_E__41;7602223;NSR:StopPlace:568
1076_7.0_E__42;7600508;NSR:StopPlace:127
1076_7.0_E__43;7601364;NSR:StopPlace:195
1076_7.0_E__44;7601300;NSR:StopPlace:712
1076_7.0_E__45;7601409;NSR:StopPlace:648
1076_7.0_E__46;7602325;NSR:StopPlace:349
1076_7.0_E__47;7600928;NSR:StopPlace:699
1076_7.0_E__48;7601352;NSR:StopPlace:211
1076_7.0_E__49;7602226;NSR:StopPlace:702
1076_7.0_E__50;7602323;NSR:StopPlace:71
1076_7.0_E__51;7602335;NSR:StopPlace:639
1076_7.0_E__52;7601114;NSR:StopPlace:603
1076_7.0_E__53;7600518;NSR:StopPlace:70
1076_7.0_E__54;7600739;NSR:StopPlace:425
1076_7.0_E__55;7600507;NSR:StopPlace:375
1076_7.0_E__56;7600552;NSR:StopPlace:566
1076_7.0_E__56;7400731;NSR:StopPlace:73
1076_7.0_E__57;7601002;NSR:StopPlace:663
1076_7.0_E__58;7600536;NSR:StopPlace:226
1076_7.0_E__59;7601605;NSR:StopPlace:245
1076_7.0_E__60;7600626;NSR:StopPlace:302
1076_7.0_E__61;7602183;NSR:StopPlace:585
1076_7.0_E__62;7601407;NSR:StopPlace:493
1076_7.0_E__63;7601214;NSR:StopPlace:180
1076_7.0_E__64;7601388;NSR:StopPlace:507
1076_7.0_E__65;7600914;NSR:StopPlace:23
1076_7.0_E__66;7602178;NSR:StopPlace:177
1076_7.0_E__67;7601627;NSR:StopPlace:401
1076_7.0_E__68;7600506;NSR:StopPlace:323
1076_7.0_E__69;7600519;NSR:StopPlace:84
1076_7.0_E__70;7602326;NSR:StopPlace:183
1076_7.0_E__71;7601810;NSR:StopPlace:263
1076_7.0_E__72;7601308;NSR:StopPlace:390
1076_7.0_E__73;7600725;NSR:StopPlace:420
1076_7.0_E__74;7602110;NSR:StopPlace:407
1076_7.0_E__75;7600720;NSR:StopPlace:191
1076_7.0_E__76;7600100;NSR:StopPlace:337
1076_7.0_E__77;7600206;NSR:StopPlace:716
1076_7.0_E__78;7601513;NSR:StopPlace:672
1076_7.0_E__79;7601306;NSR:StopPlace:413
1076_7.0_E__80;7600729;NSR:StopPlace:274
1076_7.0_E__81;7602124;NSR:StopPlace:435
1076_7.0_E__82;7600212;NSR:StopPlace:344
1076_7.0_E__83;7602330;NSR:StopPlace:440
1076_7.0_E__84;7600909;NSR:StopPlace:117
1076_7.0_E__85;7601612;NSR:StopPlace:429
1076_7.0_E__86;7602107;NSR:StopPlace:296
1076_7.0_E__87;7600805;NSR:StopPlace:467
1076_7.0_E__88;7600926;NSR:StopPlace:392
1076_7.0_E__89;7600801;NSR:StopPlace:406
1076_7.0_E__90;7602317;NSR:StopPlace:508
1076_7.0_E__91;7600502;NSR:StopPlace:433
1076_7.0_E__92;7600315;NSR:StopPlace:123
1076_7.0_E__93;7600220;NSR:StopPlace:269
1076_7.0_E__94;7602105;NSR:StopPlace:297
1076_7.0_E__95;7600922;NSR:StopPlace:427
