fromStopPlaceId;toStopPlaceId;distance_km
NSR:StopPlace:1;NSR:StopPlace:108;207
NSR:StopPlace:1;NSR:StopPlace:11;150
NSR:StopPlace:1;NSR:StopPlace:117;350
NSR:StopPlace:1;NSR:StopPlace:12;258
NSR:StopPlace:1;NSR:StopPlace:120;263
NSR:StopPlace:1;NSR:StopPlace:123;271
NSR:StopPlace:1;NSR:StopPlace:127;216
NSR:StopPlace:1;NSR:StopPlace:132;196
NSR:StopPlace:1;NSR:StopPlace:136;267
NSR:StopPlace:1;NSR:StopPlace:140;184
NSR:StopPlace:1;NSR:StopPlace:141;777
NSR:StopPlace:1;NSR:StopPlace:15;304
NSR:StopPlace:1;NSR:StopPlace:152;189
NSR:StopPlace:1;NSR:StopPlace:157;186
NSR:StopPlace:1;NSR:StopPlace:158;187
NSR:StopPlace:1;NSR:StopPlace:159;260
NSR:StopPlace:1;NSR:StopPlace:161;1348
NSR:StopPlace:1;NSR:StopPlace:163;206
NSR:StopPlace:1;NSR:StopPlace:169;335
NSR:StopPlace:1;NSR:StopPlace:17;434
NSR:StopPlace:1;NSR:StopPlace:175;574
NSR:StopPlace:1;NSR:StopPlace:176;1419
NSR:StopPlace:1;NSR:StopPlace:177;197
NSR:StopPlace:1;NSR:StopPlace:180;826
NSR:StopPlace:1;NSR:StopPlace:183;459
NSR:StopPlace:1;NSR:StopPlace:186;221
NSR:StopPlace:1;NSR:StopPlace:187;139
NSR:StopPlace:1;NSR:StopPlace:191;348
NSR:StopPlace:1;NSR:StopPlace:192;314
NSR:StopPlace:1;NSR:StopPlace:195;1243
NSR:StopPlace:1;NSR:StopPlace:199;272
NSR:StopPlace:1;NSR:StopPlace:200;399
NSR:StopPlace:1;NSR:StopPlace:203;252
NSR:StopPlace:1;NSR:StopPlace:208;208
NSR:StopPlace:1;NSR:StopPlace:210;734
NSR:StopPlace:1;NSR:StopPlace:211;1151
NSR:StopPlace:1;NSR:StopPlace:219;318
NSR:StopPlace:1;NSR:StopPlace:222;441
NSR:StopPlace:1;NSR:StopPlace:226;256
NSR:StopPlace:1;NSR:StopPlace:23;383
NSR:StopPlace:1;NSR:StopPlace:239;286
NSR:StopPlace:1;NSR:StopPlace:245;133
NSR:StopPlace:1;NSR:StopPlace:259;183
NSR:StopPlace:1;NSR:StopPlace:260;283
NSR:StopPlace:1;NSR:StopPlace:263;59
NSR:StopPlace:1;NSR:StopPlace:267;216
NSR:StopPlace:1;NSR:StopPlace:269;244
NSR:StopPlace:1;NSR:StopPlace:274;390
NSR:StopPlace:1;NSR:StopPlace:275;1035
NSR:StopPlace:1;NSR:StopPlace:279;198
NSR:StopPlace:1;NSR:StopPlace:287;201
NSR:StopPlace:1;NSR:StopPlace:288;192
NSR:StopPlace:1;NSR:StopPlace:295;173
NSR:StopPlace:1;NSR:StopPlace:296;32
NSR:StopPlace:1;NSR:StopPlace:297;16
NSR:StopPlace:1;NSR:StopPlace:302;316
NSR:StopPlace:1;NSR:StopPlace:303;182
NSR:StopPlace:1;NSR:StopPlace:316;622
NSR:StopPlace:1;NSR:StopPlace:318;350
NSR:StopPlace:1;NSR:StopPlace:323;210
NSR:StopPlace:1;NSR:StopPlace:324;300
NSR:StopPlace:1;NSR:StopPlace:332;577
NSR:StopPlace:1;NSR:StopPlace:336;264
NSR:StopPlace:1;NSR:StopPlace:337;192
NSR:StopPlace:1;NSR:StopPlace:338;260
NSR:StopPlace:1;NSR:StopPlace:344;237
NSR:StopPlace:1;NSR:StopPlace:349;447
NSR:StopPlace:1;NSR:StopPlace:351;965
NSR:StopPlace:1;NSR:StopPlace:358;361
NSR:StopPlace:1;NSR:StopPlace:359;203
NSR:StopPlace:1;NSR:StopPlace:375;213
NSR:StopPlace:1;NSR:StopPlace:380;85
NSR:StopPlace:1;NSR:StopPlace:384;231
NSR:StopPlace:1;NSR:StopPlace:390;841
NSR:StopPlace:1;NSR:StopPlace:392;516
NSR:StopPlace:1;NSR:StopPlace:398;567
NSR:StopPlace:1;NSR:StopPlace:4;489
NSR:StopPlace:1;NSR:StopPlace:401;128
NSR:StopPlace:1;NSR:StopPlace:406;553
NSR:StopPlace:1;NSR:StopPlace:407;57
NSR:StopPlace:1;NSR:StopPlace:412;246
NSR:StopPlace:1;NSR:StopPlace:413;829
NSR:StopPlace:1;NSR:StopPlace:418;169
NSR:StopPlace:1;NSR:StopPlace:420;376
NSR:StopPlace:1;NSR:StopPlace:425;458
NSR:StopPlace:1;NSR:StopPlace:427;464
NSR:StopPlace:1;NSR:StopPlace:429;159
NSR:StopPlace:1;NSR:StopPlace:433;199
NSR:StopPlace:1;NSR:StopPlace:435;145
NSR:StopPlace:1;NSR:StopPlace:440;490
NSR:StopPlace:1;NSR:StopPlace:451;213
NSR:StopPlace:1;NSR:StopPlace:456;778
NSR:StopPlace:1;NSR:StopPlace:467;592
NSR:StopPlace:1;NSR:StopPlace:49;1393
NSR:StopPlace:1;NSR:StopPlace:493;181
NSR:StopPlace:1;NSR:StopPlace:494;253
NSR:StopPlace:1;NSR:StopPlace:501;28
NSR:StopPlace:1;NSR:StopPlace:506;226
NSR:StopPlace:1;NSR:StopPlace:507;1474
NSR:StopPlace:1;NSR:StopPlace:508;325
NSR:StopPlace:1;NSR:StopPlace:519;106
NSR:StopPlace:1;NSR:StopPlace:520;649
NSR:StopPlace:1;NSR:StopPlace:53;591
NSR:StopPlace:1;NSR:StopPlace:530;202
NSR:StopPlace:1;NSR:StopPlace:540;250
NSR:StopPlace:1;NSR:StopPlace:542;332
NSR:StopPlace:1;NSR:StopPlace:547;222
NSR:StopPlace:1;NSR:StopPlace:548;576
NSR:StopPlace:1;NSR:StopPlace:553;229
NSR:StopPlace:1;NSR:StopPlace:566;351
NSR:StopPlace:1;NSR:StopPlace:568;364
NSR:StopPlace:1;NSR:StopPlace:572;205
NSR:StopPlace:1;NSR:StopPlace:580;439
NSR:StopPlace:1;NSR:StopPlace:585;241
NSR:StopPlace:1;NSR:StopPlace:590;42
NSR:StopPlace:1;NSR:StopPlace:596;394
NSR:StopPlace:1;NSR:StopPlace:602;659
NSR:StopPlace:1;NSR:StopPlace:603;693
NSR:StopPlace:1;NSR:StopPlace:609;160
NSR:StopPlace:1;NSR:StopPlace:610;179
NSR:StopPlace:1;NSR:StopPlace:635;292
NSR:StopPlace:1;NSR:StopPlace:639;530
NSR:StopPlace:1;NSR:StopPlace:640;230
NSR:StopPlace:1;NSR:StopPlace:641;585
NSR:StopPlace:1;NSR:StopPlace:645;535
NSR:StopPlace:1;NSR:StopPlace:648;177
NSR:StopPlace:1;NSR:StopPlace:653;184
NSR:StopPlace:1;NSR:StopPlace:658;224
NSR:StopPlace:1;NSR:StopPlace:659;745
NSR:StopPlace:1;NSR:StopPlace:662;170
NSR:StopPlace:1;NSR:StopPlace:663;560
NSR:StopPlace:1;NSR:StopPlace:672;198
NSR:StopPlace:1;NSR:StopPlace:673;927
NSR:StopPlace:1;NSR:StopPlace:685;1112
NSR:StopPlace:1;NSR:StopPlace:699;539
NSR:StopPlace:1;NSR:StopPlace:70;261
NSR:StopPlace:1;NSR:StopPlace:702;380
NSR:StopPlace:1;NSR:StopPlace:706;184
NSR:StopPlace:1;NSR:StopPlace:708;306
NSR:StopPlace:1;NSR:StopPlace:71;420
NSR:StopPlace:1;NSR:StopPlace:712;780
NSR:StopPlace:1;NSR:StopPlace:714;871
NSR:StopPlace:1;NSR:StopPlace:716;210
NSR:StopPlace:1;NSR:StopPlace:73;380
NSR:StopPlace:1;NSR:StopPlace:82;321
NSR:StopPlace:1;NSR:StopPlace:84;269
NSR:StopPlace:1;NSR:StopPlace:94;286
NSR:StopPlace:1;NSR:StopPlace:99;372
NSR:StopPlace:108;NSR:StopPlace:11;86
NSR:StopPlace:108;NSR:StopPlace:117;286
NSR:StopPlace:108;NSR:StopPlace:12;51
NSR:StopPlace:108;NSR:StopPlace:120;470
NSR:StopPlace:108;NSR:StopPlace:123;207
NSR:StopPlace:108;NSR:StopPlace:127;152
NSR:StopPlace:108;NSR:StopPlace:132;11
NSR:StopPlace:108;NSR:StopPlace:136;61
NSR:StopPlace:108;NSR:StopPlace:140;39
NSR:StopPlace:108;NSR:StopPlace:141;713
NSR:StopPlace:108;NSR:StopPlace:15;240
NSR:StopPlace:108;NSR:StopPlace:152;125
NSR:StopPlace:108;NSR:StopPlace:157;122
NSR:StopPlace:108;NSR:StopPlace:158;157
NSR:StopPlace:108;NSR:StopPlace:159;196
NSR:StopPlace:108;NSR:StopPlace:161;1284
NSR:StopPlace:108;NSR:StopPlace:163;142
NSR:StopPlace:108;NSR:StopPlace:169;271
NSR:StopPlace:108;NSR:StopPlace:17;370
NSR:StopPlace:108;NSR:StopPlace:175;510
NSR:StopPlace:108;NSR:StopPlace:176;1355
NSR:StopPlace:108;NSR:StopPlace:177;404
NSR:StopPlace:108;NSR:StopPlace:180;762
NSR:StopPlace:108;NSR:StopPlace:183;429
NSR:StopPlace:108;NSR:StopPlace:186;157
NSR:StopPlace:108;NSR:StopPlace:187;97
NSR:StopPlace:108;NSR:StopPlace:191;284
NSR:StopPlace:108;NSR:StopPlace:192;250
NSR:StopPlace:108;NSR:StopPlace:195;1179
NSR:StopPlace:108;NSR:StopPlace:199;479
NSR:StopPlace:108;NSR:StopPlace:200;369
NSR:StopPlace:108;NSR:StopPlace:203;188
NSR:StopPlace:108;NSR:StopPlace:208;144
NSR:StopPlace:108;NSR:StopPlace:210;670
NSR:StopPlace:108;NSR:StopPlace:211;1087
NSR:StopPlace:108;NSR:StopPlace:219;254
NSR:StopPlace:108;NSR:StopPlace:222;411
NSR:StopPlace:108;NSR:StopPlace:226;192
NSR:StopPlace:108;NSR:StopPlace:23;319
NSR:StopPlace:108;NSR:StopPlace:239;222
NSR:StopPlace:108;NSR:StopPlace:245;103
NSR:StopPlace:108;NSR:StopPlace:259;53
NSR:StopPlace:108;NSR:StopPlace:260;253
NSR:StopPlace:108;NSR:StopPlace:263;148
